Date,Education,Energy,Food,Housing,Medical,Transportation
2017-01-01,139.041,199.608,248.242,247.942,471.7,199.292
2017-02-01,138.796,198.195,248.791,248.693,474.546,199.147
2017-03-01,136.234,198.597,249.165,248.978,474.561,200.091
2017-04-01,135.781,202.869,249.739,249.514,473.582,202.389
2017-05-01,135.563,203.132,250.016,250.376,473.512,202.212
2017-06-01,135.497,204.646,249.653,251.629,474.36,201.263
2017-07-01,135.388,202.554,250.214,251.87,476.126,199.466
2017-08-01,135.702,205.894,250.493,252.615,476.869,200.652
2017-09-01,136.189,215.711,250.993,252.984,476.485,204.775
2017-10-01,136.502,207.29,251.364,253.125,477.121,202.457
2017-11-01,136.717,209.383,250.871,253.177,477.198,204.014
2017-12-01,136.671,206.598,251.238,253.845,477.802,203.023
2018-01-01,136.635,210.663,252.361,254.857,481.06,205.338
2018-02-01,136.327,213.519,252.266,255.713,482.897,207.359
2018-03-01,136.029,212.554,252.37,256.388,483.984,207.845
2018-04-01,135.943,218.83,253.209,256.969,484.034,210.734
2018-05-01,136.261,226.81,253.098,257.907,484.853,214.125
2018-06-01,136.535,229.137,253.231,258.71,486.019,214.679
2018-07-01,136.77,227.107,253.746,259.268,485.193,214.039
2018-08-01,137.336,226.939,254.077,259.884,484.172,213.482
2018-09-01,137.868,226.165,254.393,259.941,484.708,212.414
2018-10-01,137.776,225.757,254.358,260.268,485.269,213.482
2018-11-01,136.981,215.91,254.379,260.473,486.886,209.924
2018-12-01,136.976,205.905,255.21,261.36,487.409,204.541
2019-01-01,137.055,200.563,256.417,262.284,490.204,202.57
2019-02-01,137.168,202.74,257.222,263.057,491.227,204.236
2019-03-01,137.082,211.724,257.724,263.886,492.306,208.836
2019-04-01,137.182,222.499,257.708,264.452,493.331,214.142
2019-05-01,137.199,225.773,258.11,265.137,494.928,215.391
2019-06-01,137.344,221.373,258.064,266.461,495.563,213.073
2019-07-01,137.595,222.492,258.274,267.101,497.687,213.405
2019-08-01,138.154,216.978,258.41,267.263,500.916,211.084
2019-09-01,138.409,215.418,258.943,267.822,501.468,209.35
2019-10-01,138.529,216.351,259.632,267.794,506.1,210.487
2019-11-01,138.92,214.636,259.467,267.925,507.541,209.763
2019-12-01,138.839,212.982,259.823,268.236,509.689,208.482
2020-01-01,139.132,213.043,261.057,269.468,512.149,208.284
2020-02-01,139.256,208.354,261.876,270.281,513.923,207.772
2020-03-01,139.199,199.573,262.708,270.273,515.605,203.854
2020-04-01,139.378,183.081,266.757,270.184,517.053,193.732
2020-05-01,139.34,183.076,268.439,270.823,519.194,191.419
2020-06-01,139.258,193.379,269.77,271.831,520.734,195.609
2020-07-01,140.794,197.665,268.863,272.445,522.686,200.766
2020-08-01,141.32,197.362,269.079,272.866,523.295,202.386
2020-09-01,141.369,198.858,269.163,273.116,522.528,202.715
2020-10-01,141.469,196.458,269.828,273.014,520.725,203.086
2020-11-01,141.534,194.388,269.069,273.29,519.848,202.828
2020-12-01,141.549,198.155,270.023,273.684,518.766,203.56
